0,0
0,1
0,2
0,3
0,4
1,0
1,1
1,2
1,3
1,4
2,0
2,1
2,2
2,3
2,4
3,0
3,1
3,2
3,3
3,4
4,0
4,1
4,2
4,3
4,4
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
11,10
11,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
12,10
12,11
12,12
12,13
12,14
12,15
12,16
12,17
12,18
12,19
13,10
13,11
13,12
13,13
13,14
13,15
13,16
13,17
13,18
13,19
14,10
14,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
15,18
15,19
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,17
16,18
16,19
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,17
17,18
17,19
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,18
18,19
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,19
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,17
25,18
25,19
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,17
26,18
26,19
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
28,10
28,11
28,12
28,13
28,14
28,15
28,16
28,17
28,18
28,19
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,17
29,18
29,19
